inputSize,BaseX,BaseXRExLLExternal,BaseXRExLALRExternal,BaseXRExLL,BaseXRExLALR,BaseXIxml,Saxon,SaxonRExLLExternal,SaxonRExLALRExternal,SaxonRExLL,SaxonRExLALR,SaxonIxmlEarley,SaxonIxmlGLL
7755.2,168.2228012084961,168.53978729248047,168.1794891357422,173.10435485839844,168.95021057128906,164.3219223022461,168.12655639648438,168.35704803466797,160.30411529541016,172.11399841308594,168.19988250732422,1112.235206604004,789.8894653320312
15499.8,168.22759246826172,168.3389129638672,168.56297302246094,169.39865112304688,173.2654800415039,164.65011596679688,172.10128021240234,172.4713363647461,172.65894317626953,168.41983795166016,176.33920288085938,1827.655632019043,1519.3045959472656
30998.6,160.13446044921875,168.97173309326172,169.0497589111328,204.96544647216797,169.3328857421875,164.6920166015625,168.1497573852539,165.12925720214844,172.54354095458984,180.78439331054688,168.37403106689453,2462.547882080078,1898.1464462280273
61996.2,169.23615264892578,162.1554412841797,174.50727081298828,249.52333068847656,170.7716293334961,201.05967712402344,168.2602767944336,177.85589599609375,177.98978424072266,176.2213363647461,176.90184783935547,5007.289237976074,2991.172019958496
