inputSize,ANTLR4,Grammatica,HandCrafted,Jackson,JavaCC,REx_LL,REx_LALR
7755.2,164.0334930419922,168.0491180419922,172.00787353515625,164.00393676757812,168.01373291015625,164.0059051513672,40.00787353515625
15499.8,156.0482635498047,164.04962158203125,164.0591049194336,164.01771545410156,168.05091857910156,168.0059051513672,40.00787353515625
30998.6,160.0748748779297,160.0491180419922,164.0059051513672,40.023162841796875,160.05091857910156,160.00672149658203,40.008689880371094
61996.2,160.11425018310547,164.0498809814453,164.13094329833984,168.0261001586914,168.0489501953125,168.0098419189453,48.00886535644531
123991.4,160.2699203491211,40.04740905761719,161.0166473388672,164.0184555053711,164.05288696289062,164.0059051513672,32.010658264160156
247981.8,160.51422882080078,164.0461883544922,169.70761108398438,48.0169677734375,164.05288696289062,40.00787353515625,32.00984191894531
495962.6,180.8606948852539,40.05108642578125,247.40927124023438,40.01648712158203,168.05091857910156,48.008689880371094,44.0
991924.2,212.01959228515625,72.05331420898438,220.0059051513672,84.0,72.04698181152344,72.00787353515625,72.01065826416016
1983847.4,276.0118103027344,152.05699157714844,240.0191421508789,212.02806854248047,176.05288696289062,168.00393676757812,168.00840759277344
3967693.8,360.0821762084961,244.0,196.07430267333984,260.0184555053711,248.0489501953125,256.0086898803711,256.01036071777344
7935386.6,512.006721496582,396.0,204.04500579833984,392.0206832885742,392.04698181152344,392.0,388.0172119140625
1.58707722E7,776.0059051513672,632.056510925293,260.27352142333984,632.0187149047852,632.0509185791016,624.0078735351562,624.0411071777344
3.17415434E7,1452.0039367675781,1144.2288970947266,512.1543655395508,1144.0,1128.0469818115234,1132.0059051513672,1140.0
6.34830858E7,2548.0118103027344,2172.0,1012.3202667236328,2156.0,2160.0,2168.0,2172.0
1.269661706E8,3669.10311126709,3380.8060760498047,4676.0134201049805,2736.0,4076.0,4068.005905151367,4080.0
